ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
35	35	1.204	стакан-марка-красная	8.9	12.5	порода-охристая	0.561	37.3	15.0	9.0	17.5	bbox	34	0.0	0.0	0.0	710,15,17,10	388.3	39.4861410	73.5856368	4439.8
36	36	1.079	стакан-марка-красная	6.7	19.0	порода-охристая	0.682	30.8	8.0	7.0	10.6	bbox	35	10.0	10.0	11.0	119,1019,24,14	383.6	39.4861392	73.5856382	4439.8
37	37	1.505	палка-ручка-контроль	12.0	0.7	порода-охристая	1.204	56.9	15.0	18.0	23.4	bbox	36	8.0	8.0	13.0	1609,1061,13,12	367.7	39.4861397	73.5856373	4439.8
38	38	1.181	стакан-марка-красная	8.1	17.3	порода-охристая	0.659	32.5	7.0	8.0	10.6	bbox	37	12.0	12.0	12.0	1165,785,16,12	361.0	39.4861384	73.5856386	4439.9
39	39	1.318	палка-ручка-пробка	10.2	9.4	лишайник-жёлтый-на-камне	1.063	85.1	7.0	13.0	14.8	bbox	38	2.0	2.0	2.0	527,263,16,16	345.8	39.4861406	73.5856367	4439.8
40	40	0.420	палка-ручка-пробка	3.0	5.3	лишайник-жёлтый-на-камне	0.770	70.4	2.0	23.0	23.1	bbox	39	2.0	2.0	6.0	545,115,10,14	339.2	39.4861406	73.5856367	4439.8
41	41	0.510	палка-ручка-пробка	3.2	9.0	лишайник-жёлтый-на-камне	0.626	66.7	2.0	22.0	22.1	bbox	40	6.0	6.0	6.0	65,775,8,20	331.6	39.4861398	73.5856369	4439.8
42	42	1.501	стакан-марка-красная	11.0	16.5	порода-охристая	0.253	33.3	10.0	12.0	15.6	bbox	41	0.0	0.0	0.0	311,667,25,10	329.7	39.4861410	73.5856368	4439.8
43	43	0.454	палка-ручка-контроль	3.2	6.2	лишайник-жёлтый-на-камне	1.099	51.4	7.0	23.0	24.0	bbox	42	6.0	6.0	7.0	451,1027,17,12	325.0	39.4861398	73.5856369	4439.8
44	44	1.108	палка-ручка-пробка	8.6	7.4	лишайник-жёлтый-на-камне	1.188	83.1	10.0	16.0	18.9	bbox	43	12.0	12.0	12.0	327,903,10,10	323.2	39.4861384	73.5856386	4439.9
45	45	0.957	стакан-марка-красная	2.0	25.9	порода-охристая	1.126	23.9	11.0	3.0	11.4	bbox	44	10.0	9.0	10.0	141,823,12,22	320.1	39.4861392	73.5856382	4439.8
46	46	0.989	стакан-марка-красная	5.6	19.6	снег-розовый	0.609	69.4	6.0	3.5	6.9	bbox	45	9.0	9.0	11.0	65,1049,18,16	309.3	39.4861394	73.5856379	4439.8
47	47	2.538	стакан-марка-красная	17.0	38.8	порода-в-тени	1.215	11.0	-4.5	8.0	9.2	bbox	46	6.0	6.0	6.0	0,787,7,12	300.7	39.4861398	73.5856369	4439.8
48	48	2.118	стакан-марка-красная	11.0	45.1	порода-в-тени	0.663	4.7	0.0	1.0	1.0	bbox	47	0.0	0.0	0.0	1129,905,8,14	292.8	39.4861410	73.5856368	4439.8
